number,artist,title,time,bpm,year,genre,track,track_gen,block,decade
334,The Rolling Stones,Wild Horses,5M 45S,144.2,1971,TBD,DTRANDOM_004-13,DTRANDOM_004,400s,1970s
362,The Beatles,All You Need Is Love,3M 48S,104.7,1969,Rock 1960s,BEATLES__BLA-07,BEATLES__BLA,400s,1960s
364,Bob Dylan,Highway 61 Revisited,3M 30S,136.8,1965,TBD,DTRANDOM_002-06,DTRANDOM_002,400s,1960s
384,The Beatles,Ticket to Ride,3M 10S,123.9,1966,Rock 1960s,BEATLES__RDA-12,BEATLES__RDA,400s,1960s
404,Bob Dylan,Visions of Johanna,7M 32S,102.8,1985,TBD,DTRANDOM_008-14,DTRANDOM_008,500s,1980s
424,The Rolling Stones,Tumbling Dice,3M 39S,110.6,1972,TBD,HOTSTUFF_023-18,HOTSTUFF_023,500s,1970s
435,The Rolling Stones,Beast of Burden,4M 27S,100.9,1978,TBD,HOTSTUFF_024-08,HOTSTUFF_024,500s,1970s
449,The Beatles,Penny Lane,3M 1S,113.8,1969,Rock 1960s,BEATLES__BLA-02,BEATLES__BLA,500s,1960s
463,The Beatles,Rain,3M 2S,105.5,1988,TBD,DTRANDOM_003-01,DTRANDOM_003,500s,1980s
490,The Rolling Stones,Brown Sugar,3M 46S,128.3,1971,Rock 1970s,ESSENTLS_011-09,ESSENTLS_011,500s,1970s
496,The Rolling Stones,Miss You,4M 48S,110.3,1978,TBD,HOTSTUFF_023-12,HOTSTUFF_023,500s,1970s
