word,decade,n
cash,1990s,1
cat,1970s,1
cat's,1980s,1
catch,1980s,1
caught,1970s,1
century,1980s,1
century,1990s,1
chains,1980s,1
chair,1950s,1
chair,1960s,1
chamber,1990s,1
chance,1950s,1
chance,1980s,1
change,1950s,1
change,1980s,1
change,1990s,1
changed,1950s,1
changed,1970s,1
chased,1970s,1
chasing,1960s,1
chasing,1970s,1
checkout,1980s,1
cheeze,1990s,1
cherish,1960s,1
chest,1960s,1
chi,1980s,1
chief,1970s,1
childhood,1980s,1
children,1980s,1
chimes,1950s,1
chimpanzees,1990s,1
chokin,1990s,1
choosing,1990s,1
chorus,1980s,1
chorus,1990s,1
chrome,1960s,1
chrome,1970s,1
cigarettes,1980s,1
circled,1960s,1
circus,1960s,1
city's,1970s,1
claims,1950s,1
clappin,1970s,1
class,1970s,1
cleaned,1960s,1
clearing,1970s,1
clerk's,1950s,1
climbed,1980s,1
clockin,1980s,1
close,1950s,1
close,1980s,1
closed,1960s,1
closer,1960s,1
closest,1960s,1
clothes,1960s,1
clothes,1970s,1
cloudy,1950s,1
cloudy,1960s,1
clowns,1960s,1
coal,1970s,1
coaster,1960s,1
coat,1960s,1
coax,1970s,1
coca,1960s,1
cocaine,1990s,1
cola,1960s,1
cold,1980s,1
colder,1960s,1
colder,1980s,1
collect,1970s,1
colored,1980s,1
colorful,1960s,1
colours,1980s,1
comb,1960s,1
comb,1970s,1
comfort,1970s,1
comin,1950s,1
coming,1950s,1
command,1960s,1
company,1950s,1
company,1960s,1
company,1970s,1
compares,1960s,1
complain,1990s,1
complainin,1960s,1
completely,1960s,1
compromise,1960s,1
conceal,1960s,1
confessions,1990s,1
confused,1960s,1
confusion,1980s,1
congo,1950s,1
congressman,1970s,1
congressmen,1960s,1
consolation,1970s,1
constantly,1960s,1
consultations,1970s,1
control,1990s,1
controlled,1960s,1
convenience,1980s,1
cool,1950s,1
cooled,1950s,1
couches,1990s,1
council,1970s,1
count,1960s,1
countin,1950s,1
country,1970s,1
county,1950s,1
coup,1950s,1
couple,1990s,1
cracker,1960s,1
crap,1990s,1
crash,1950s,1
crash,1970s,1
crawl,1960s,1
crawled,1960s,1
crawled,1980s,1
crazy,1990s,1
creates,1980s,1
creep,1960s,1
cried,1970s,1
crimes,1970s,1
criticize,1960s,1
critics,1960s,1
cross,1960s,1
cross,1970s,1
crowds,1960s,1
crowned,1960s,1
cruel,1980s,1
cruise,1990s,1
cruising,1980s,1
crumbling,1960s,1
crumbs,1960s,1
crust,1960s,1
cry,1990s,1
cue,1970s,1
cup,1950s,1
cup,1960s,1
cupboard,1970s,1
cupid,1950s,1
curse,1960s,1
cut,1970s,1
cute,1960s,1
cutest,1950s,1
cutest,1960s,1
cuz,1970s,1
daada,1970s,1
dab,1960s,1
dad,1950s,1
dadada,1970s,1
daddy,1950s,1
daddy,1970s,1
daddy's,1970s,1
dah,1960s,1
dance,1960s,1
dance,1970s,1
dancin,1950s,1
dark,1990s,1
darkness,1960s,1
darlin,1970s,1
darling,1980s,1
darn,1950s,1
darning,1960s,1
dart,1950s,1
date,1970s,1
days,1980s,1
daytime,1990s,1
de,1950s,1
dead,1970s,1
dead,1980s,1
deal,1960s,1
deal,1980s,1
dealing,1970s,1
dean,1970s,1
dear,1960s,1
dear,1970s,1
debo,1980s,1
debt,1970s,1
decide,1970s,1
declare,1970s,1
declared,1970s,1
deep,1950s,1
deep,1970s,1
deeper,1980s,1
delighted,1950s,1
departed,1960s,1
depend,1960s,1
desert,1970s,1
desire,1960s,1
desire,1980s,1
desk,1950s,1
deutsch,1990s,1
devil,1960s,1
devil,1980s,1
dial,1970s,1
dice,1970s,1
die,1970s,1
died,1960s,1
diesel,1970s,1
dig,1950s,1
diga,1980s,1
dime,1960s,1
diplomat,1960s,1
direction,1980s,1
dirt,1960s,1
dirty,1960s,1
dirty,1970s,1
dirty,1980s,1
dirty,1990s,1
disagree,1960s,1
disappearing,1960s,1
disappointment,1960s,1
disco,1980s,1
discover,1960s,1
disease,1960s,1
disregards,1970s,1
distance,1960s,1
distance,1990s,1
diverted,1960s,1
dock,1970s,1
dog,1970s,1
dog,1990s,1
dog's,1970s,1
doin,1980s,1
doll,1960s,1
dollar,1970s,1
dollar,1980s,1
dolls,1960s,1
dolphins,1970s,1
door,1970s,1
doorway,1960s,1
double,1990s,1
dovin,1950s,1
downhearted,1960s,1
downstairs,1960s,1
downtown,1960s,1
dragged,1960s,1
drank,1960s,1
draw,1970s,1
dreaming,1960s,1
drenched,1960s,1
dress,1950s,1
dressed,1950s,1
dressed,1960s,1
drift,1960s,1
drink,1960s,1
drinkin,1950s,1
drinkin,1960s,1
drinking,1960s,1
drinking,1970s,1
drinking,1980s,1
drive,1970s,1
drive,1980s,1
drive,1990s,1
drive,2000s,1
driven,1960s,1
driver,1970s,1
driver,1990s,1
drivers,1950s,1
drivin,1960s,1
drivin,1980s,1
drones,1970s,1
droolin,1960s,1
drop,1970s,1
drops,1960s,1
drowned,1960s,1
drummer,1950s,1
dry,1960s,1
ducked,1950s,1
dustbin,1970s,1
dwell,1950s,1
earn,1970s,1
earth,1950s,1
earth,1970s,1
earth,1980s,1
ease,1960s,1
east,1950s,1
east,1960s,1
easy,1950s,1
eat,1970s,1
eee,1960s,1
eeel,1960s,1
ego,1980s,1
eh,1960s,1
elders,1970s,1
em,1950s,1
em,1960s,1
emphasize,1980s,1
empire,1960s,1
empty,1960s,1
engineer,1950s,1
english,1960s,1
enjoy,1960s,1
entertain,1980s,1
escaping,1960s,1
esta,1980s,1
ev'ry,1960s,1
evening,1960s,1
evening's,1960s,1
everbody's,1960s,1
evergreens,1950s,1
everlasting,1970s,1
everybody's,1960s,1
everything's,1950s,1
everything's,1970s,1
evil,1990s,1
exchanging,1960s,1
excited,1960s,1
expected,1970s,1
eye,1990s,1
eyeball,1960s,1
eyeballs,1990s,1
eyebrows,1970s,1
eyes,1990s,1
facing,1960s,1
faded,1970s,1
faded,1980s,1
fadin,1960s,1
failed,1990s,1
fair,1960s,1
fairy,1970s,1
faithful,1980s,1
faker,1970s,1
fall,1960s,1
fallin,1990s,1
falling,1960s,1
falsely,1960s,1
fans,1970s,1
fantasies,1990s,1
farmers,1960s,1
fascinating,1970s,1
fascination,1970s,1
fascist,1970s,1
fast,1950s,1
fast,1960s,1
fast,1970s,1
father,1970s,1
father,1980s,1
fathers,1960s,1
favor,1960s,1
favorite,1980s,1
feed,1960s,1
feels,1960s,1
feels,1970s,1
feet,1950s,1
feet,1970s,1
feet,1980s,1
fell,1980s,1
females,1980s,1
fences,1960s,1
field,1960s,1
field,1980s,1
fields,1980s,1
fighting,1970s,1
figurehead,1970s,1
fill,1960s,1
filled,1960s,1
film,1960s,1
film,2000s,1
filter,1960s,1
finally,1960s,1
finally,1970s,1
finally,1980s,1
fine,1970s,1
finest,1960s,1
finger,1960s,1
finger,1980s,1
finished,1960s,1
fire,1970s,1
fists,1960s,1
fit,1980s,1
fix,1960s,1
fla,1970s,1
flack,1980s,1
flag,1970s,1
flag,1990s,1
flailing,1990s,1
flamin,1990s,1
flash,1980s,1
flat,1970s,1
flew,1970s,1
flexin,1970s,1
flippers,1970s,1
flippin,1970s,1
flo,1960s,1
float,1970s,1
floats,1970s,1
floor,1980s,1
floors,1980s,1
flower,1980s,1
flowers,1970s,1
flowin,1950s,1
flown,1960s,1
flown,1970s,1
flows,1980s,1
fluff,1960s,1
fly,1990s,1
flyin,1950s,1
foggy,1960s,1
fold,1970s,1
folks,1980s,1
folksinger,1990s,1
food,1970s,1
fool,1980s,1
foolin,1960s,1
foolish,1970s,1
fools,1960s,1
fools,1980s,1
football,1960s,1
forces,1990s,1
forevermore,1960s,1
forget,1950s,1
forget,1970s,1
forget,1980s,1
forget,1990s,1
forty,1950s,1
found,1990s,1
fourteen,1980s,1
free,1950s,1
free,1970s,1
french,1960s,1
fresh,1960s,1
fresh,1980s,1
friends,1980s,1
friends,1990s,1
frightened,1960s,1
front,1960s,1
front,1970s,1
front,1980s,1
frowned,1960s,1
frowning,1960s,1
frowns,1960s,1
frozen,1960s,1
frugin,1970s,1
fruit,1950s,1
fruitjar,1950s,1
fuel,1970s,1
fun,1960s,1
fun,1970s,1
fun,1990s,1
funny,1950s,1
funny,1960s,1
fuss,1970s,1
future,1950s,1
game,1980s,1
gang,1950s,1
gang,1980s,1
gas,1990s,1
gather,1960s,1
gathered,1960s,1
gentle,1960s,1
gentle,1970s,1
gentleman,1960s,1
giant,1970s,1
gift,1990s,1
gifts,1960s,1
gimmick,2000s,1
girls,1980s,1
giving,1970s,1
giving,1980s,1
glad,1980s,1
glide,1980s,1
glimpse,1970s,1
globe,1980s,1
gloom,1950s,1
glory,1970s,1
glove,1970s,1
goin,1970s,1
golden,1950s,1
gonna,1990s,1
goodbye,1960s,1
government,2000s,1
grabbed,1960s,1
grabbed,1970s,1
grace,1970s,1
grade,1960s,1
grass,1960s,1
grave,1960s,1
grave,1970s,1
green,1960s,1
grinned,1960s,1
gritty,1980s,1
groove,1960s,1
groovin,1960s,1
ground,1970s,1
ground,1980s,1
grow,1970s,1
growl,1960s,1
grown,1970s,1
grown,1980s,1
gto,2000s,1
guard,1970s,1
guess,1970s,1
guess,1990s,1
guiding,1970s,1
guitar,1990s,1
gumboot,1960s,1
gunny,1950s,1
guns,1990s,1
guys,1960s,1
ha,1950s,1
hag,1960s,1
hahhh,1960s,1
hail,1970s,1
hair,1970s,1
half,1950s,1
half,1970s,1
hammerin,1960s,1
hand,1980s,1
hands,1970s,1
hang,1980s,1
hangin,1960s,1
hangin,1990s,1
hanging,1960s,1
hanging,1980s,1
hangman,1960s,1
happen,1970s,1
happy,1950s,1
happy,1980s,1
hard,1970s,1
harpoon,1970s,1
hat,1960s,1
hate,1980s,1
hate,1990s,1
haunted,1960s,1
havin,1970s,1
hawaiian,1960s,1
haystack,1980s,1
headed,1950s,1
headed,1980s,1
heading,1980s,1
headlights,1990s,1
healing,1980s,1
hear,1970s,1
hears,1960s,1
hears,1970s,1
hearse,1980s,1
heartbreaker,1960s,1
hearted,1960s,1
hearts,1960s,1
heat,1950s,1
heat,1960s,1
heaven,1950s,1
heaven,1980s,1
heaven's,1950s,1
heavy,1960s,1
heed,1960s,1
heed,1970s,1
heey,1960s,1
heh,1960s,1
held,1980s,1
hell,1970s,1
helped,1970s,1
helpin,1970s,1
hemi,1970s,1
henry,1950s,1
heroes,1970s,1
hide,1980s,1
hiding,1960s,1
hiding,1970s,1
highway,1950s,1
highway,1970s,1
highway's,1970s,1
hiked,1970s,1
hint,1990s,1
hip,1960s,1
hitch,1970s,1
hitched,1960s,1
hmm,1950s,1
holding,1970s,1
holler,1970s,1
hollow,1960s,1
holly,1970s,1
holy,1960s,1
hon,1950s,1
honey,1980s,1
hoo,1950s,1
hoo,1960s,1
hood,1950s,1
hooray,1960s,1
hoos,1970s,1
hop,1980s,1
hop's,1950s,1
hope,1970s,1
hope,1980s,1
hoped,1980s,1
horse,1960s,1
horses,1970s,1
hose,1970s,1
hot,1950s,1
hour,1960s,1
hour,1970s,1
hour,1990s,1
hour's,1960s,1
house,1970s,1
howl,1960s,1
howled,1960s,1
huddled,1970s,1
hug'em,1960s,1
hugs,1950s,1
huh,1950s,1
huh,1970s,1
hump,1980s,1
hundred,1950s,1
hung,1990s,1
hurricane,1950s,1
hurricane,1960s,1
hurt,1990s,1
hurting,1960s,1
hurting,2000s,1
hurts,1970s,1
hustling,1960s,1
hypnotized,1970s,1
i'ma,1950s,1
ich,1980s,1
ight,1960s,1
illinois,1950s,1
imagination,1980s,1
imitation,1970s,1
immune,1970s,1
impermanence,1970s,1
improv,1970s,1
inch,1960s,1
indecision's,1980s,1
indecisión,1980s,1
indepen,1960s,1
independence,1960s,1
information,1980s,1
inherit,1970s,1
injected,1970s,1
insane,1950s,1
insane,1960s,1
insane,1970s,1
insane,1990s,1
insecure,1960s,1
inside,1980s,1
interlude,1980s,1
inverted,1960s,1
invisible,1960s,1
ir,1980s,1
ira,1970s,1
iron,1960s,1
island,1960s,1
island,1970s,1
itching,2000s,1
jack,1970s,1
jackie,1970s,1
jail,1950s,1
jailbird,1950s,1
jailbirds,1950s,1
jam,1960s,1
jam,1970s,1
jam,1980s,1
jamaican,1960s,1
jamboree,1950s,1
james,1970s,1
jammed,1970s,1
janie,1960s,1
jar,1950s,1
jar,1960s,1
jazz,1950s,1
jeans,1950s,1
jeans,1970s,1
jelly,1970s,1
jest,1970s,1
job,1960s,1
job,1990s,1
jobs,1980s,1
joe,1950s,1
join,1950s,1
joint,1950s,1
jokes,1970s,1
jubilee,1950s,1
judgment,1960s,1
judgment,1970s,1
jugglers,1960s,1
juiced,1960s,1
jumpin,1950s,1
june,1970s,1
junkie,1990s,1
jus,1980s,1
kashmir,1970s,1
kentucky,1970s,1
kick,1950s,1
kick,1970s,1
kicks,1950s,1
kicks,1960s,1
kiddin,1960s,1
kids,1980s,1
kinda,1950s,1
kindly,1960s,1
kinds,1960s,1
kinds,1970s,1
kingdom,1980s,1
kiss,1970s,1
kiss'em,1960s,1
kissed,1960s,1
kissed,1980s,1
kisses,1950s,1
kite,1970s,1
knees,1990s,1
knock,1960s,1
knocked,1950s,1
knocking,1960s,1
knocks,1960s,1
knowing,1960s,1
ladies,1960s,1
lancashire,1960s,1
land,1960s,1
land,1970s,1
land,1980s,1
language,1960s,1
lasting,1960s,1
late,1980s,1
laughed,1950s,1
laughed,1970s,1
law,1970s,1
lay,1960s,1
leader,1950s,1
leading,1970s,1
learned,1950s,1
learning,1960s,1
leaves,1950s,1
left,1950s,1
left,1980s,1
legs,1980s,1
lend,1960s,1
lend,1970s,1
lengths,1990s,1
lettin,1960s,1
level,1960s,1
li,1970s,1
liberated,1970s,1
lick,1970s,1
lied,1960s,1
lies,1960s,1
lies,1970s,1
life,1970s,1
life,1990s,1
lifeguard,1970s,1
lift,1960s,1
lifted,1960s,1
lifts,1960s,1
lightnin,1960s,1
lilting,1970s,1
lines,1960s,1
linin,1980s,1
lips,1980s,1
listen,1960s,1
lit,1960s,1
lived,1950s,1
lives,1960s,1
living,1970s,1
load,1990s,1
loan,2000s,1
lob,1970s,1
lobe,1970s,1
log,1950s,1
lololo,1970s,1
loner,1960s,1
lonesome,1970s,1
looked,1960s,1
looked,1970s,1
lookin,1950s,1
loose,1980s,1
loosened,1980s,1
lord,1980s,1
lords,1960s,1
lose,1980s,1
lose,1990s,1
loser,1960s,1
losin,1960s,1
losin,1980s,1
lost,1970s,1
lost,1990s,1
lot,1950s,1
loud,1960s,1
louisiana,1950s,1
love'em,1960s,1
love's,1970s,1
loved,1950s,1
loved,1980s,1
lovely,1960s,1
lovemaker,1960s,1
loves,1950s,1
loveseat,1990s,1
loving,1960s,1
loving,1970s,1
low,1950s,1
low,1980s,1
luck,1980s,1
lucky,1960s,1
luke's,1960s,1
lyin,1960s,1
líbrame,1980s,1
mace,1990s,1
machine,1970s,1
machines,1970s,1
mad,1950s,1
mad,1970s,1
madly,1960s,1
madness,1970s,1
maggot,1990s,1
magic,1980s,1
makes,1980s,1
makes,1990s,1
makin,1960s,1
makin,1980s,1
males,1980s,1
mama,1950s,1
mama,1960s,1
mama,1980s,1
mambo,1950s,1
man's,1980s,1
managed,1980s,1
mandolins,1970s,1
mansions,1970s,1
manta,1970s,1
market,1980s,1
mars,1970s,1
master,1980s,1
matching,1970s,1
mattress,1980s,1
me'd,1980s,1
meal,1960s,1
meaning,1960s,1
means,1960s,1
means,1980s,1
meant,1980s,1
measured,1960s,1
meet,1970s,1
meets,1960s,1
melody,1950s,1
melody,1980s,1
meltdown,1970s,1
memories,1960s,1
memories,1980s,1
memphis,1960s,1
mercy,1960s,1
mercy,1970s,1
mermaids,1970s,1
mermen,1970s,1
message,1980s,1
metal,1960s,1
mexico,1960s,1
miami,1970s,1
middle,1960s,1
middle,1980s,1
midwest,1960s,1
mile,1950s,1
miles,1950s,1
miles,1980s,1
military,1970s,1
million,1960s,1
million,1970s,1
millionaire's,1970s,1
mind,1950s,1
mind,1990s,1
mines,1970s,1
mirrors,1970s,1
misery,1950s,1
misery,1960s,1
mississippi,1980s,1
mist,1970s,1
mistake,1960s,1
misty,1960s,1
misunderstanding,1960s,1
misusin,1960s,1
mm,1960s,1
mmmm,1960s,1
modern,1950s,1
mojo,1960s,1
molesta,1980s,1
moment's,1960s,1
moments,1960s,1
monkey,1990s,1
mood,1950s,1
moon,1960s,1
moon,1970s,1
morals,1970s,1
mornin,1950s,1
moron,1970s,1
moses,1960s,1
mother,1950s,1
mother,1970s,1
mothers,1960s,1
motion,1970s,1
motivates,1980s,1
motivatin,1950s,1
mountains,1980s,1
move,1960s,1
move,1970s,1
moved,1950s,1
movement,1960s,1
movin,1970s,1
moving,1980s,1
mpla,1970s,1
muddy,1960s,1
mumbles,1970s,1
murphy,1950s,1
muscles,1970s,1
music,1960s,1
music,1990s,1
music's,1980s,1
mystery,1960s,1
name'll,1950s,1
namin,1960s,1
nanalalal,1960s,1
nanananana,1960s,1
nanananananana,1960s,1
napoleon,1960s,1
narwhal,1970s,1
nation,1980s,1
nations,1970s,1
nature's,1980s,1
nazareth,1960s,1
neck,1990s,1
necks,1970s,1
needle,1980s,1
nerves,1950s,1
neutral,1990s,1
nightmare,1990s,1
nights,1960s,1
nineteen,1950s,1
ninety,1950s,1
nme,1970s,1
nobody's,1970s,1
nobody's,1980s,1
nodding,1970s,1
noise,1960s,1
nooo,1960s,1
noooo,1970s,1
noose,1980s,1
northern,1960s,1
nose,1990s,1
noseguard,1970s,1
nothin,1980s,1
now's,1950s,1
occupy,1960s,1
ocean,1970s,1
offers,1970s,1
ol,1950s,1
ol,1960s,1
one's,1950s,1
ono,1960s,1
oooh,1960s,1
ooooh,1960s,1
ooooo,1960s,1
oooooooow,1960s,1
orleans,1950s,1
orleans,1960s,1
orleans,1970s,1
other's,1960s,1
other's,1990s,1
ounce,1980s,1
outrun,1950s,1
outta,1960s,1
ove,1960s,1
oven,1980s,1
overcome,1960s,1
overnight,1970s,1
owned,1980s,1
pace,1970s,1
pacify,1960s,1
pack,1980s,1
packed,1970s,1
packing,1970s,1
paid,1970s,1
pain,1970s,1
pain,1980s,1
painful,1960s,1
paint,1990s,1
palace,1970s,1
palm,1960s,1
pantyhose,1990s,1
papers,1970s,1
parade,1970s,1
paradise,1960s,1
paranoia,1960s,1
pardon,1950s,1
pardon,1960s,1
parents,1980s,1
park,1970s,1
park,1990s,1
parking,1990s,1
partner,1950s,1
party,1950s,1
party,1970s,1
pass,1970s,1
pass,1980s,1
passed,1960s,1
passer,1970s,1
passin,1950s,1
passing,1950s,1
passing,1960s,1
past,1950s,1
past,1980s,1
path,1970s,1
patience's,1980s,1
pawn,1960s,1
pay,1960s,1
pays,1980s,1
pen,1960s,1
penny,1980s,1
people,1970s,1
perform,1960s,1
perfume,1960s,1
perverted,1960s,1
pet,1980s,1
phoney,1990s,1
phony,1970s,1
photograph,1960s,1
piano,1950s,1
picked,1960s,1
picks,1960s,1
piece,1980s,1
piece,1990s,1
pierce,1990s,1
pigeon,1990s,1
pilot,1970s,1
piranha,1970s,1
pissed,1970s,1
plan,1960s,1
plan,1980s,1
plans,1960s,1
plans,1980s,1
plastic,1990s,1
plates,1960s,1
played,1950s,1
playin,1950s,1
playin,1970s,1
playing,1960s,1
playing,1970s,1
plays,1970s,1
plays,1980s,1
pleasin,1960s,1
pleasure,1960s,1
plowmen,1960s,1
plucked,1970s,1
plum,1970s,1
pocketful,1970s,1
poison,1970s,1
pole,1990s,1
pollution,1980s,1
poof,1980s,1
pool,1970s,1
poor,1970s,1
poorer,1970s,1
porch,1980s,1
potatoes,1970s,1
potential,1970s,1
power,1970s,1
power,1980s,1
powered,1970s,1
pre,1970s,1
preacher,1950s,1
preacher's,1960s,1
preachin,1970s,1
pretend,1990s,1
pretty,1970s,1
pride,1960s,1
pride,1970s,1
prime,1960s,1
princes,1960s,1
princess,1960s,1
prison,1950s,1
production,1960s,1
promises,1970s,1
promoted,1980s,1
proof,1960s,1
propers,1960s,1
prophesize,1960s,1
prove,1980s,1
provision,1970s,1
pulled,1950s,1
pulled,1960s,1
pulled,1970s,1
pumped,1960s,1
purple,1950s,1
push,1980s,1
quarters,1970s,1
queda,1980s,1
quedarme,1980s,1
queen,1950s,1
queen,1960s,1
quench,1960s,1
quieres,1980s,1
quiet,1970s,1
quietly,1980s,1
quit,1970s,1
quit,1980s,1
quote,1970s,1
race,1970s,1
racin,1960s,1
rack,1960s,1
radio,1960s,1
radio,1980s,1
ragged,1960s,1
ragged,1970s,1
ragin,1960s,1
rags,1950s,1
rags,1960s,1
railroad,1950s,1
railway,1970s,1
rainbow's,1960s,1
rained,1970s,1
rains,1960s,1
raised,1960s,1
rap,1970s,1
rap,1980s,1
rat,1960s,1
rate,1980s,1
rattle,1950s,1
rattle,1960s,1
ray,1960s,1
ray,1970s,1
reached,1970s,1
reaching,1970s,1
reaction,1980s,1
read,1950s,1
ready,1980s,1
real,1970s,1
realize,1960s,1
rear,1970s,1
reason,1950s,1
recall,1960s,1
reels,1960s,1
refrain,1960s,1
regime,1970s,1
relate,1970s,1
relate,1990s,1
relax,1960s,1
relief,1960s,1
remain,1960s,1
remains,1970s,1
remember,1970s,1
reminders,1970s,1
reno,1990s,1
repeat,1980s,1
repect,1960s,1
replaced,1970s,1
rerun,1990s,1
resistance,1960s,1
resistance,1970s,1
return,1960s,1
return,1970s,1
returned,1960s,1
revealed,1970s,1
rhyme,1960s,1
ri,1960s,1
rice,1960s,1
richer,1970s,1
ride,1970s,1
rider,1970s,1
riders,1960s,1
ridin,1970s,1
ridin,1980s,1
rims,1970s,1
ring,1960s,1
ring,1970s,1
ringing,1950s,1
rings,1960s,1
ripples,1970s,1
rips,1970s,1
rises,1970s,1
rising,1960s,1
riverboat,1960s,1
road,1950s,1
road,1960s,1
road,1970s,1
road,1980s,1
robbin,1960s,1
robin,1970s,1
robin,1980s,1
rockin,1970s,1
rocks,1960s,1
rode,1970s,1
roll,1970s,1
rollers,1970s,1
roof,1980s,1
roof's,1960s,1
ropas,1980s,1
rope,1960s,1
rose,1960s,1
rosie,1960s,1
rouge,1970s,1
round,1950s,1
rug,1960s,1
ruins,1960s,1
rules,1980s,1
rummage,1970s,1
runaway,1970s,1
running,1960s,1
rusted,1980s,1
sabes,1980s,1
sack,1980s,1
sad,1950s,1
sadness,1970s,1
safe,1980s,1
sail,1980s,1
sailin,1970s,1
sails,1970s,1
sake,1950s,1
sale,1970s,1
salinas,1970s,1
sand,1970s,1
sands,1960s,1
sat,1960s,1
satisfy,1960s,1
save,1980s,1
saved,1960s,1
savin,1960s,1
savin,1990s,1
saving,1960s,1
saving,1970s,1
sax,1950s,1
sayin,1960s,1
sayin,1970s,1
scaled,1980s,1
scan,1970s,1
scat,1960s,1
scene,1960s,1
scheme,1970s,1
school,1960s,1
schooled,1960s,1
schoolin,1960s,1
science,1970s,1
scream,1960s,1
scream,1970s,1
scream,1980s,1
scrounging,1960s,1
scrub,1980s,1
scuse,1960s,1
secrets,1960s,1
secrets,1970s,1
section,1950s,1
seeking,1970s,1
selling,1960s,1
senator's,1970s,1
senators,1960s,1
send,1960s,1
send,1970s,1
sends,1960s,1
ser,1980s,1
sermon,1960s,1
servants,1960s,1
settle,1960s,1
seventh,1950s,1
seventh,1970s,1
shacking,1970s,1
shade,1950s,1
shangri,1970s,1
share,1960s,1
shared,1970s,1
shave,1990s,1
shaved,1970s,1
shed,1960s,1
shells,1970s,1
shelter,1960s,1
shelter,1980s,1
shines,1960s,1
shirt,1960s,1
shirt,1990s,1
shirts,1980s,1
sho'nuff,1980s,1
shock,1980s,1
shockin,1980s,1
shoeshine,1960s,1
shook,1950s,1
shook,1960s,1
shopping,1970s,1
short,1960s,1
short,1980s,1
shotgun,1970s,1
shotgun,1990s,1
should've,1950s,1
should've,1970s,1
shout,1970s,1
shove,1990s,1
shucks,1980s,1
siamese,1960s,1
sick,1970s,1
sideboard,1960s,1
sidewalk,2000s,1
sie,1990s,1
sigh,1960s,1
sighs,1960s,1
sight,1980s,1
signin,1980s,1
signs,1960s,1
silhouetted,1960s,1
silver,1970s,1
sin,1970s,1
sincere,1960s,1
sing,1950s,1
sing,1980s,1
single,1970s,1
sings,1970s,1
sink,1960s,1
sinkin,1960s,1
sister's,1980s,1
sit,1950s,1
sit,1960s,1
situation,1970s,1
size,1970s,1
skies,1980s,1
skin,2000s,1
skirt,1980s,1
sky,1970s,1
slab,1990s,1
slappin,1970s,1
sleep,1990s,1
sleepin,1960s,1
sleeping,2000s,1
sleeve,1990s,1
slide,1950s,1
slide,1980s,1
sliding,1960s,1
slip,1970s,1
slip,1980s,1
slip,1990s,1
slipping,1960s,1
slob,1990s,1
slogans,1970s,1
slowly,1960s,1
slows,1950s,1
sly,1960s,1
smack,1960s,1
smart,1980s,1
smell,1960s,1
smile,1980s,1
smile,1990s,1
smoke,1980s,1
snappers,1970s,1
snappin,1970s,1
socks,1960s,1
softly,1960s,1
sold,1960s,1
solo,1950s,1
solo,1960s,1
solution,1980s,1
somebody's,1980s,1
someday,1970s,1
son,1950s,1
songs,1960s,1
sons,1960s,1
sorrow,1960s,1
sorrow,1980s,1
souls,1970s,1
sound,1950s,1
sounding,1960s,1
sounds,1950s,1
sounds,1970s,1
south,1950s,1
southern,1960s,1
spangled,1970s,1
speak,1960s,1
special,1980s,1
speed,1950s,1
speed,1980s,1
speeding,1970s,1
spends,1980s,1
spent,1970s,1
spider,1950s,1
spike,1960s,1
spin,1960s,1
spinal,1960s,1
spinning,1960s,1
spit,1970s,1
splinters,1990s,1
spoke,1980s,1
spoon,1970s,1
spot,1950s,1
spray,1990s,1
sprechen,1990s,1
spring,1980s,1
sprung,1970s,1
spurred,1970s,1
squandered,1970s,1
square,1950s,1
squeeze'em,1960s,1
stadium,1960s,1
stain,1990s,1
stalled,1960s,1
stalls,1990s,1
stamps,1990s,1
stand,1950s,1
stands,1970s,1
star,1970s,1
stare,1960s,1
stare,1980s,1
stared,1960s,1
stark,1970s,1
stars,1950s,1
start,1950s,1
start,1980s,1
starting,1980s,1
starts,2000s,1
station,1970s,1
stay,1970s,1
steal,1960s,1
stealin,1960s,1
stealing,1970s,1
steeple,1960s,1
stepped,1950s,1
steppin,1970s,1
stick,1950s,1
stick,1960s,1
stingray,1970s,1
stock,1990s,1
stone,1950s,1
stone,1980s,1
stood,1950s,1
stood,1960s,1
stopped,1960s,1
store,1950s,1
store,1970s,1
store,1980s,1
storm,1970s,1
story,1970s,1
story's,1970s,1
straits,1970s,1
strangers,1970s,1
strap,1960s,1
strap,1970s,1
streak,1980s,1
street's,1960s,1
streets,1980s,1
strikes,1960s,1
string,1990s,1
strong,1950s,1
strong,1980s,1
strumming,1950s,1
stuff,1960s,1
sturdy,1980s,1
styles,1960s,1
suburbs,1980s,1
sugar,1980s,1
sun,1950s,1
sun,1980s,1
sun's,1970s,1
sunday,1970s,1
superb,1980s,1
suppose,1970s,1
supposed,1960s,1
surely,1960s,1
surfboards,1970s,1
surrounded,1980s,1
survive,1960s,1
suspicion,1960s,1
sweat,1970s,1
sweeping,1960s,1
sweet,1970s,1
sweeter,1960s,1
sweeter,1980s,1
sweetly,1960s,1
swimmin,1960s,1
swing,1950s,1
swing,1970s,1
swinging,1960s,1
symphony,1950s,1
takes,1960s,1
takin,1960s,1
taking,1960s,1
taking,1970s,1
tale,1950s,1
talked,1960s,1
talked,1970s,1
talking,1960s,1
tall,1950s,1
tall,1960s,1
tango,1950s,1
tanned,1960s,1
tanning,1970s,1
taste,1970s,1
taste,1990s,1
tations,1960s,1
taught,1960s,1
taxman,1970s,1
tcb,1960s,1
tear,1970s,1
tears,1950s,1
teens,1950s,1
telephone,1950s,1
tellin,1980s,1
